Provinsi,KabKota,Jenis_Ikan,Volume_Produksi,Nilai_Produksi,Konsumsi
ACEH,ACEH BARAT,BANDENG,462.63,71070000,0.034
ACEH,ACEH BARAT,CAKALANG,1120.95,960382683,0.122
ACEH,ACEH BARAT,KAKAP,1250.74,6805814548,0.01
ACEH,ACEH BARAT,KEMBUNG,1370.749,32601894216,0.067
ACEH,ACEH BARAT,LELE,57.28,1432000000,0.034
ACEH,ACEH BARAT,MAS,11.88,415800000,0.004
ACEH,ACEH BARAT,NILA,65.11,1953300000,0.034
ACEH,ACEH BARAT,SELAR,452.752,9306770112,0.012
ACEH,ACEH BARAT,TENGGIRI,1112.797,7911561830,0.007
ACEH,ACEH BARAT,TONGKOL,1229.375,34537291670,0.154
ACEH,ACEH BARAT,TUNA,819.308,16654220000,0.082
ACEH,ACEH BARAT,UDANG,677.94,21988200000,0.034
ACEH,ACEH BARAT DAYA,GABUS,70,3500000,0.01
ACEH,ACEH BARAT DAYA,KAKAP,438.24,20162000000,0.003
ACEH,ACEH BARAT DAYA,KEMBUNG,312.75,7010000000,0.072
ACEH,ACEH BARAT DAYA,LELE,847.766,1010440000,0.011
ACEH,ACEH BARAT DAYA,MAS,583.941,682080000,0.003
ACEH,ACEH BARAT DAYA,MUJAIR,275,6875000,0.003
ACEH,ACEH BARAT DAYA,NILA,731.275,650000000,0.014
ACEH,ACEH BARAT DAYA,PATIN,61.4,194000750,0.001
ACEH,ACEH BARAT DAYA,SELAR,200,4144000000,0.043
ACEH,ACEH BARAT DAYA,TENGGIRI,91.359,1827180000,0.006
ACEH,ACEH BARAT DAYA,TONGKOL,873.601,150168830000,0.203
ACEH,ACEH BARAT DAYA,TUNA,1047.108,41884320000,0.076
ACEH,ACEH BARAT DAYA,UDANG,960.965,124697725000,0.012
ACEH,ACEH BESAR,BANDENG,123.5,1041625000,0.019
ACEH,ACEH BESAR,CAKALANG,0,35700000000,0.104
ACEH,ACEH BESAR,KAKAP,395,15800000,0.001
